run	status	who	
ENCFF850ZLY_ENCFF897IUQ	done	markd
ENCFF456MMS_ENCFF716WNR	done	markd
ENCFF016TGP_ENCFF604DIX	done	markd
ENCFF034BHU_ENCFF788AET	done	markd
ENCFF276UME	done	markd
ENCFF000CXV_ENCFF000CYL	done	markd
ENCFF000CYF_ENCFF000CYV	done	markd
ENCFF000CXW_ENCFF000CYM	done	markd
ENCFF000CYH_ENCFF000CYX	done	markd
ENCFF000CYK_ENCFF000CZA	done	markd
ENCFF000CXY_ENCFF000CYO	done	markd
ENCFF000CYG_ENCFF000CYW	done	markd
ENCFF000CXX_ENCFF000CYN	done	markd
ENCFF000CXH	done	markd
ENCFF000CXI	done	markd
ENCFF000EWJ_ENCFF000EWX	done	markd
ENCFF000EWW_ENCFF000EXE	done	markd
ENCFF000EZF_ENCFF000EZT	done	markd
ENCFF000EZH_ENCFF000EZR	done	markd
ENCFF000FCG_ENCFF000FCI	done	markd
ENCFF000FCH_ENCFF000FCU	done	markd
ENCFF001RVS_ENCFF001RVW	done	markd
ENCFF001RVY_ENCFF001RVR	done	markd
ENCFF001RDF_ENCFF001RCX	done	markd
ENCFF001RDG_ENCFF001RCY	done	markd
ENCFF001RVX_ENCFF001RWB	done	markd
ENCFF001RVT_ENCFF001RVZ	done	markd
ENCFF000DAG_ENCFF000DAM	done	markd
ENCFF000DAH_ENCFF000DAN	done	markd
ENCFF000DAI_ENCFF000DAO	done	markd
ENCFF436TWZ	done	markd
ENCFF930QFA	done	markd
ENCFF887HOU	done	markd
ENCFF286QHA	done	markd
ENCFF729YAX	done	markd
ENCFF481BWJ	done	markd
ENCFF974EKR	done	markd
ENCFF824LLV	done	markd
ENCFF001REI_ENCFF001REH	done	markd
ENCFF001REK_ENCFF001REJ	done	markd
ENCFF000LTG	done	markd
ENCFF000DGR_ENCFF000DGZ	pending	
ENCFF000DGT_ENCFF000DHB	pending	
ENCFF000DGV_ENCFF000DHD	pending	
ENCFF000DGX_ENCFF000DHF	pending	
ENCFF000DGW_ENCFF000DHE	pending	
ENCFF000DGS_ENCFF000DHA	pending	
ENCFF000DGY_ENCFF000DHG	pending	
ENCFF000DGU_ENCFF000DHC	pending	
ENCFF000DFW	pending	
ENCFF000DGB	pending	
ENCFF000FJF_ENCFF000FJG	pending	
ENCFF000FHG_ENCFF000FHH	pending	
ENCFF565ZQD_ENCFF039JYG	pending	
ENCFF000DJL_ENCFF000DJO	pending	
ENCFF000DJM_ENCFF000DJP	pending	
ENCFF000DJN_ENCFF000DJQ	pending	
ENCFF953ZDW_ENCFF346WNU	pending	
ENCFF000FET_ENCFF000FFG	pending	
ENCFF000FEU_ENCFF000FFF	pending	
ENCFF187OKV_ENCFF283RUU	pending	
ENCFF650JAM_ENCFF803DXA	pending	
ENCFF367XVO_ENCFF688YVP	pending	
ENCFF938MAS_ENCFF365QPE	pending	
ENCFF049EBF	pending	
ENCFF373UMT	pending	
ENCFF649YXQ	pending	
ENCFF961GKK	pending	
